"TIME","GEO","NACE_R2","UNIT","AGE","Value"
"2008","CZ03","A","THS","Y_GE15","31.4"
"2008","CZ03","B-E","THS","Y_GE15","198.2"
"2008","CZ03","F","THS","Y_GE15","56.5"
"2008","CZ03","G-I","THS","Y_GE15","123.3"
"2008","CZ03","J","THS","Y_GE15","9.0"
"2008","CZ03","K","THS","Y_GE15","11.5"
"2008","CZ03","L","THS","Y_GE15","3.0"
"2008","CZ03","M_N","THS","Y_GE15","33.1"
"2008","CZ03","O-Q","THS","Y_GE15","111.9"
"2008","CZ03","R-U","THS","Y_GE15","16.9"
"2008","CZ03","NRP","THS","Y_GE15",":"
"2008","CZ04","TOTAL","THS","Y_GE15","520.0"
"2008","CZ04","A","THS","Y_GE15","13.3"
"2008","CZ04","B-E","THS","Y_GE15","171.1"
"2008","CZ04","F","THS","Y_GE15","52.5"
"2008","CZ04","G-I","THS","Y_GE15","127.3"
"2008","CZ04","J","THS","Y_GE15","6.2"
"2008","CZ04","K","THS","Y_GE15","9.6"
"2008","CZ04","L","THS","Y_GE15","3.3"
"2008","CZ04","M_N","THS","Y_GE15","24.2"
"2008","CZ04","O-Q","THS","Y_GE15","93.2"
"2008","CZ04","R-U","THS","Y_GE15","19.1"
"2008","CZ04","NRP","THS","Y_GE15",":"
"2008","CZ05","TOTAL","THS","Y_GE15","709.9"
"2008","CZ05","A","THS","Y_GE15","26.2"
"2008","CZ05","B-E","THS","Y_GE15","273.3"
"2008","CZ05","F","THS","Y_GE15","63.5"
"2008","CZ05","G-I","THS","Y_GE15","141.0"
"2008","CZ05","J","THS","Y_GE15","10.7"
"2008","CZ05","K","THS","Y_GE15","14.6"
"2008","CZ05","L","THS","Y_GE15","4.0"
"2008","CZ05","M_N","THS","Y_GE15","31.6"
"2008","CZ05","O-Q","THS","Y_GE15","124.0"
"2008","CZ05","R-U","THS","Y_GE15","20.9"
"2008","CZ05","NRP","THS","Y_GE15",":"
"2008","CZ06","TOTAL","THS","Y_GE15","784.8"
"2008","CZ06","A","THS","Y_GE15","38.5"
"2008","CZ06","B-E","THS","Y_GE15","251.9"
"2008","CZ06","F","THS","Y_GE15","80.3"
"2008","CZ06","G-I","THS","Y_GE15","161.2"
"2008","CZ06","J","THS","Y_GE15","16.1"
"2008","CZ06","K","THS","Y_GE15","13.7"
"2008","CZ06","L","THS","Y_GE15","6.2"
"2008","CZ06","M_N","THS","Y_GE15","48.1"
"2008","CZ06","O-Q","THS","Y_GE15","143.6"
"2008","CZ06","R-U","THS","Y_GE15","25.2"
"2008","CZ06","NRP","THS","Y_GE15",":"
"2008","CZ07","TOTAL","THS","Y_GE15","579.4"
"2008","CZ07","A","THS","Y_GE15","18.6"
"2008","CZ07","B-E","THS","Y_GE15","202.7"
"2008","CZ07","F","THS","Y_GE15","62.3"
"2008","CZ07","G-I","THS","Y_GE15","123.4"
"2008","CZ07","J","THS","Y_GE15","9.0"
"2008","CZ07","K","THS","Y_GE15","8.2"
"2008","CZ07","L","THS","Y_GE15","3.5"
"2008","CZ07","M_N","THS","Y_GE15","27.0"
"2008","CZ07","O-Q","THS","Y_GE15","109.3"
"2008","CZ07","R-U","THS","Y_GE15","15.4"
"2008","CZ07","NRP","THS","Y_GE15",":"
"2008","CZ08","TOTAL","THS","Y_GE15","568.6"
"2008","CZ08","A","THS","Y_GE15","11.8"
"2008","CZ08","B-E","THS","Y_GE15","201.5"
"2008","CZ08","F","THS","Y_GE15","53.2"
"2008","CZ08","G-I","THS","Y_GE15","119.8"
"2008","CZ08","J","THS","Y_GE15","11.1"
"2008","CZ08","K","THS","Y_GE15","9.5"
"2008","CZ08","L","THS","Y_GE15","4.1"
"2008","CZ08","M_N","THS","Y_GE15","27.5"
"2008","CZ08","O-Q","THS","Y_GE15","111.0"
"2008","CZ08","R-U","THS","Y_GE15","19.3"
"2008","CZ08","NRP","THS","Y_GE15",":"
"2008","DK01","TOTAL","THS","Y_GE15","894.7"
"2008","DK01","A","THS","Y_GE15","5.0"
"2008","DK01","B-E","THS","Y_GE15","88.5"
"2008","DK01","F","THS","Y_GE15","48.5"
"2008","DK01","G-I","THS","Y_GE15","204.4"
"2008","DK01","J","THS","Y_GE15","60.8"
"2008","DK01","K","THS","Y_GE15","41.1"
"2008","DK01","L","THS","Y_GE15","13.5"
"2008","DK01","M_N","THS","Y_GE15","93.4"
"2008","DK01","O-Q","THS","Y_GE15","285.7"
